id,coh_diff,relevance,output,coherence,rel_diff,consistency,con_diff,fluency,flu_diff,mean_diff,mean
0,-0.1333333333333333,1.45,"Coherence: 1.2
Consistency: 1.0
Fluency: 2.0
Relevance: 1.45
Overall:1.4125",1.2,-0.21666666666666679,1.0,0.0,2.0,-1.0,-0.3375,1.4125
1,0.6666666666666665,4.15,"Coherence: 3.0
Consistency: 5.0
Fluency: 3.95
Relevance: 4.15
Overall:4.025",3.0,1.4833333333333338,5.0,0.0,3.95,-1.0499999999999998,0.27500000000000013,4.025
2,1.1166666666666667,3.9,"Coherence: 3.45
Consistency: 4.95
Fluency: 3.45
Relevance: 3.9
Overall:3.9375",3.45,1.2333333333333334,4.95,-0.04999999999999982,3.45,-1.5499999999999998,0.1875000000000001,3.9375
3,0.9333333333333333,3.2,"Coherence: 2.6
Consistency: 5.0
Fluency: 3.85
Relevance: 3.2
Overall:3.6625",2.6,0.5333333333333337,5.0,0.0,3.85,-1.15,0.07916666666666677,3.6625
4,0.2666666666666666,4.45,"Coherence: 3.6
Consistency: 5.0
Fluency: 3.0
Relevance: 4.45
Overall:4.0125",3.6,0.4500000000000002,5.0,0.0,3.0,-0.3333333333333335,0.09583333333333333,4.0125
5,-0.1499999999999999,4.1,"Coherence: 3.85
Consistency: 5.0
Fluency: 3.0
Relevance: 4.1
Overall:3.9875",3.85,0.09999999999999964,5.0,0.0,3.0,-2.0,-0.5125000000000001,3.9875
6,0.6166666666666667,4.0,"Coherence: 3.95
Consistency: 5.0
Fluency: 3.05
Relevance: 4.0
Overall:4.0",3.95,1.0,5.0,0.33333333333333304,3.05,-1.9500000000000002,-1.1102230246251565e-16,4.0
7,0.6666666666666665,4.15,"Coherence: 4.0
Consistency: 5.0
Fluency: 3.95
Relevance: 4.15
Overall:4.275",4.0,0.48333333333333384,5.0,0.0,3.95,-1.0499999999999998,0.025000000000000133,4.275
8,-2.666666666666667,2.0,"Coherence: 2.0
Consistency: 1.65
Fluency: 4.05
Relevance: 2.0
Overall:2.425",2.0,-0.6666666666666665,1.65,-3.35,4.05,-0.9500000000000002,-1.9083333333333332,2.425
9,-0.8833333333333329,4.1,"Coherence: 3.45
Consistency: 5.0
Fluency: 3.85
Relevance: 4.1
Overall:4.1000000000000005",3.45,0.09999999999999964,5.0,0.0,3.85,-1.15,-0.4833333333333333,4.1000000000000005
10,0.4833333333333334,3.85,"Coherence: 3.15
Consistency: 5.0
Fluency: 4.0
Relevance: 3.85
Overall:4.0",3.15,0.8500000000000001,5.0,0.0,4.0,-0.666666666666667,0.16666666666666663,4.0
11,0.2333333333333334,4.0,"Coherence: 2.9
Consistency: 5.0
Fluency: 3.7
Relevance: 4.0
Overall:3.9000000000000004",2.9,2.0,5.0,0.0,3.7,-0.6333333333333329,0.40000000000000013,3.9000000000000004
12,0.6666666666666665,4.9,"Coherence: 4.0
Consistency: 5.0
Fluency: 5.0
Relevance: 4.9
Overall:4.725",4.0,0.9000000000000004,5.0,0.0,5.0,0.0,0.3916666666666667,4.725
13,0.48333333333333317,2.9,"Coherence: 2.15
Consistency: 3.2
Fluency: 3.65
Relevance: 2.9
Overall:2.975",2.15,0.5666666666666664,3.2,0.20000000000000018,3.65,-1.016666666666667,0.05833333333333318,2.975
14,2.2333333333333334,4.4,"Coherence: 3.9
Consistency: 5.0
Fluency: 3.95
Relevance: 4.4
Overall:4.3125",3.9,0.40000000000000036,5.0,0.0,3.95,-1.0499999999999998,0.3958333333333335,4.3125
15,1.0,2.0,"Coherence: 2.0
Consistency: 1.9
Fluency: 2.25
Relevance: 2.0
Overall:2.0375",2.0,0.33333333333333326,1.9,-3.1,2.25,-2.75,-1.1291666666666667,2.0375
16,0.0,2.0,"Coherence: 2.0
Consistency: 1.2
Fluency: 2.05
Relevance: 2.0
Overall:1.8125",2.0,-1.0,1.2,-0.8,2.05,-0.9500000000000002,-0.6875,1.8125
17,0.0,4.1,"Coherence: 4.0
Consistency: 3.8
Fluency: 4.0
Relevance: 4.1
Overall:3.9749999999999996",4.0,-0.2333333333333334,3.8,-1.2000000000000002,4.0,-1.0,-0.6083333333333334,3.9749999999999996
18,0.016666666666666607,4.7,"Coherence: 4.35
Consistency: 5.0
Fluency: 3.8
Relevance: 4.7
Overall:4.4625",4.35,0.7000000000000002,5.0,0.0,3.8,-1.2000000000000002,-0.12083333333333335,4.4625
19,-0.6166666666666667,4.0,"Coherence: 3.05
Consistency: 4.15
Fluency: 3.75
Relevance: 4.0
Overall:3.7375",3.05,0.0,4.15,-0.18333333333333268,3.75,-1.25,-0.5124999999999998,3.7375
20,-0.04999999999999982,3.95,"Coherence: 3.95
Consistency: 4.9
Fluency: 4.0
Relevance: 3.95
Overall:4.2",3.95,-0.38333333333333286,4.9,-0.09999999999999964,4.0,-1.0,-0.3833333333333331,4.2
21,0.40000000000000036,4.3,"Coherence: 4.4
Consistency: 5.0
Fluency: 4.0
Relevance: 4.3
Overall:4.425",4.4,-0.033333333333333215,5.0,0.0,4.0,-1.0,-0.15833333333333321,4.425
22,0.16666666666666696,4.85,"Coherence: 4.5
Consistency: 5.0
Fluency: 4.0
Relevance: 4.85
Overall:4.5875",4.5,0.18333333333333268,5.0,0.0,4.0,-1.0,-0.1625000000000001,4.5875
23,1.2833333333333337,4.0,"Coherence: 3.95
Consistency: 5.0
Fluency: 4.0
Relevance: 4.0
Overall:4.2375",3.95,-0.666666666666667,5.0,0.0,4.0,-1.0,-0.09583333333333333,4.2375
24,-2.466666666666667,3.0,"Coherence: 2.2
Consistency: 5.0
Fluency: 5.0
Relevance: 3.0
Overall:3.8",2.2,-1.0,5.0,0.0,5.0,0.0,-0.8666666666666667,3.8
25,-0.5666666666666673,4.5,"Coherence: 4.1
Consistency: 5.0
Fluency: 4.5
Relevance: 4.5
Overall:4.525",4.1,0.16666666666666696,5.0,0.666666666666667,4.5,-0.5,-0.05833333333333335,4.525
26,0.08333333333333348,4.0,"Coherence: 3.75
Consistency: 4.85
Fluency: 3.75
Relevance: 4.0
Overall:4.0875",3.75,0.0,4.85,-0.15000000000000036,3.75,-1.25,-0.3291666666666667,4.0875
27,0.3166666666666673,4.6,"Coherence: 4.65
Consistency: 5.0
Fluency: 4.0
Relevance: 4.6
Overall:4.5625",4.65,-0.06666666666666732,5.0,0.0,4.0,-1.0,-0.1875,4.5625
28,-0.25,3.65,"Coherence: 3.75
Consistency: 4.9
Fluency: 5.0
Relevance: 3.65
Overall:4.325",3.75,-0.016666666666666607,4.9,-0.09999999999999964,5.0,0.0,-0.09166666666666656,4.325
29,0.3333333333333335,4.05,"Coherence: 4.0
Consistency: 5.0
Fluency: 4.15
Relevance: 4.05
Overall:4.300000000000001",4.0,0.7166666666666663,5.0,0.0,4.15,-0.8499999999999996,0.050000000000000044,4.300000000000001
30,-0.3333333333333335,2.7,"Coherence: 3.0
Consistency: 2.45
Fluency: 3.7
Relevance: 2.7
Overall:2.9625000000000004",3.0,-0.2999999999999998,2.45,-2.216666666666667,3.7,-1.2999999999999998,-1.0375,2.9625000000000004
31,-1.0,2.4,"Coherence: 2.0
Consistency: 2.55
Fluency: 2.1
Relevance: 2.4
Overall:2.2625",2.0,-1.6,2.55,-2.45,2.1,-2.9,-1.9874999999999998,2.2625
